Flint, MI, USA,412895,43.01253,-83.68745
Beaumont, TX, USA,405427,29.95083,-94.02069
Manchester, NH, USA,405184,42.991285,-71.457372
Salem, OR, USA,404026,44.9429,-123.0351
Canton, OH, USA,403923,40.91545,-81.44149
Salisbury, MD, USA,389922,38.36067,-75.59937
Gulfport, MS, USA,386144,30.36576,-88.55613
Davenport, IA, USA,383030,41.52364,-90.57764
Peoria, IL, USA,380040,40.69365,-89.58899
Fayetteville, NC, USA,377939,35.05267,-78.87836
Tallahassee, FL, USA,375751,30.43826,-84.28073
Montgomery, AL, USA,373141,32.36681,-86.29997
Savannah, GA, USA,372708,32.08354,-81.09983
Trenton, NJ, USA,371537,40.21705,-74.74294
Huntington, WV, USA,363325,38.41925,-82.44515
Hickory, NC, USA,362896,35.70451,-81.35855
Eugene, OR, USA,358337,44.05207,-123.0868
Ann Arbor, MI, USA,356874,42.28083,-83.74303
Naples, FL, USA,348777,26.153064,-81.796677
Rockford, IL, USA,342411,42.27113,-89.09399
Ocala, FL, USA,339167,29.1872,-82.14009
Portage, MI, USA,334017,42.20115,-85.58
Fort Collins, CO, USA,324122,40.58526,-105.0844
Spartanburg, SC, USA,321418,34.94957,-81.93204
South Bend, IN, USA,319226,41.67635,-86.25199
Lincoln, NE, USA,318945,40.82576,-96.6852
Evansville, IN, USA,315162,37.97156,-87.57109
Green Bay, WI, USA,314531,44.51916,-88.01983
Columbus, GA, USA,314005,32.46098,-84.98771
Roanoke, VA, USA,313388,37.27097,-79.94143
Boulder, CO, USA,313333,40.01498,-105.2705
Kingsport, TN, USA,308079,36.54844,-82.56182
Lubbock, TX, USA,305644,33.57786,-101.8552
Utica, NY, USA,296615,43.117168,-75.226741
Duluth, MN, USA,280218,46.78667,-92.10049
Fort Smith, AR, USA,279592,35.38593,-94.39854
San Luis Obispo, CA, USA,279083,35.28275,-120.6596
Erie, PA, USA,278443,42.12922,-80.08506
Clarksville, TN, USA,278353,36.52977,-87.35945
Greeley, CO, USA,277670,40.42331,-104.7091
Atlantic City, NJ, USA,275209,39.361685,-74.439100
Kennewick, WA, USA,274295,46.21125,-119.1372
Norwich, CT, USA,273676,41.52427,-72.07591
Gainesville, FL, USA,273377,29.65163,-82.32483
Wilmington, NC, USA,272548,34.22573,-77.94471
Santa Cruz, CA, USA,271804,36.986115,-122.024456
Laredo, TX, USA,266673,27.53057,-99.48032
Merced, CA, USA,266353,37.30216,-120.483
Olympia, WA, USA,265851,46.9748,-122.8976
Cedar Rapids, IA, USA,263885,41.97788,-91.66563
Waco, TX, USA,260430,31.54933,-97.14667
Hagerstown, MD, USA,260070,39.64176,-77.71999
Amarillo, TX, USA,259885,35.222,-101.8313
Crestview, FL, USA,258042,30.75418,-86.5728
Lynchburg, VA, USA,257835,37.41375,-79.14225
Bremerton, WA, USA,254183,47.56732,-122.6329
Sioux Falls, SD, USA,248351,43.5446,-96.7311
Yakima, WA, USA,247687,46.60207,-120.5059
Binghamton, NY, USA,247219,42.09869,-75.91798
College Station, TX, USA,242905,30.62798,-96.3344
Tuscaloosa, AL, USA,237761,33.20984,-87.56918
Champaign, IL, USA,237252,40.11059,-88.20727
Topeka, KS, USA,233758,39.05582,-95.68902
Appleton, WI, USA,231497,44.26193,-88.41538
Macon, GA, USA,230450,32.84069,-83.6324
Fargo, ND, USA,228291,46.87719,-96.7898
Charlottesville, VA, USA,226968,38.0293,-78.47668
Chico, CA, USA,224241,39.72849,-121.8375
Charleston, WV, USA,222878,38.34982,-81.63262
Prescott, AZ, USA,218844,34.54002,-112.4685
Tyler, TX, USA,218842,32.35126,-95.30106
Claremont, NH, USA,217634,43.2911,-72.39404
Longview, TX, USA,217481,32.5007,-94.74049
Burlington, VT, USA,216167,44.4707,-73.1516
Barnstable, MA, USA,214914,41.70032,-70.3002
Las Cruces, NM, USA,213676,32.31994,-106.7637
Rochester, MN, USA,212778,44.01212,-92.4802
Lafayette, IN, USA,211697,40.414288,-86.875602
Springfield, IL, USA,211567,39.78172,-89.65015
Thibodaux, LA, USA,211348,29.79576,-90.82287
Medford, OR, USA,210287,42.32652,-122.8756
Bellingham, WA, USA,208351,48.74908,-122.4781
Florence, SC, USA,207030,34.19543,-79.76257
Lake Charles, LA, USA,203883,30.22659,-93.21738
Kingman, AZ, USA,203361,35.18944,-114.053
Yuma, AZ, USA,203247,32.69265,-114.6277
Hilton Head Island, SC, USA,203022,32.23387,-80.8047
Goshen, IN, USA,201971,41.58227,-85.83443
Johnson City, TN, USA,201091,36.31344,-82.35347
Foley, AL, USA,200111,30.40659,-87.68359
Athens, GA, USA,199016,33.95193,-83.35757
Racine, WI, USA,195163,42.72613,-87.78285
Saginaw, MI, USA,195012,43.41947,-83.95081
Panama City, FL, USA,194929,30.15881,-85.6602
Saint Cloud, MN, USA,192418,45.55795,-94.16324
Gainesville, GA, USA,190761,34.29788,-83.82407
Bloomington, IL, USA,190345,40.4842,-88.99369
Jacksonville, NC, USA,187589,34.75405,-77.43024
Warner Robins, GA, USA,187516,32.613,-83.6242
Torrington, CT, USA,184993,41.8003,-73.12117
Radford, VA, USA,181605,37.1705,-80.5189
Kingston, NY, USA,180445,41.92704,-73.99736
Redding, CA, USA,179804,40.58654,-122.3917
El Centro, CA, USA,179091,32.792,-115.563
Monroe, LA, USA,178864,32.50931,-92.1193
Joplin, MO, USA,176141,37.08423,-94.51328
Greenville, NC, USA,175354,35.61266,-77.36636
Columbia, MO, USA,172717,38.95171,-92.33408
Muskegon, MI, USA,172344,43.23418,-86.24839
Dover, DE, USA,171987,39.15817,-75.52437
Terre Haute, IN, USA,171480,39.4667,-87.41391
Redmond, OR, USA,170388,44.25319,-121.1504
Cedar Falls, IA, USA,169993,42.52039,-92.43537
Yuba City, CA, USA,169813,39.14045,-121.6169
Neenah, WI, USA,169511,44.2004,-88.51785
Sioux City, IA, USA,168806,42.49999,-96.40031
Abilene, TX, USA,168592,32.44874,-99.73315
Punta Gorda, FL, USA,168474,26.92978,-82.04536
Billings, MT, USA,166885,45.78329,-108.5007
East Stroudsburg, PA, USA,166314,40.99954,-75.18129
Bowling Green, KY, USA,165732,36.96852,-86.4808
Eau Claire, WI, USA,165024,44.81135,-91.4985
Iowa City, IA, USA,164357,41.66113,-91.53017
Bloomington, IN, USA,164308,39.16533,-86.52638
Pueblo, CO, USA,161875,38.25445,-104.6091
Midland, TX, USA,161290,31.99734,-102.0779
Beloit, WI, USA,161188,42.49829,-88.96899
Jackson, MI, USA,159741,42.24587,-84.40134
State College, PA, USA,158742,40.7934,-77.86
Bridgeton, NJ, USA,157389,39.47076,-75.13848
Burlington, NC, USA,155792,36.09569,-79.4378
Benton Harbor, MI, USA,155233,42.10436,-86.44536
Albany, GA, USA,154925,31.57851,-84.15574
Alexandria, LA, USA,154872,31.31129,-92.44514
Madera, CA, USA,154548,36.96133,-120.0607
Auburn, AL, USA,154255,32.61377,-85.43526
Odessa, TX, USA,153904,31.84568,-102.3676
Bangor, ME, USA,153414,44.80118,-68.77782
Decatur, AL, USA,153084,34.60593,-86.98335
Waynesboro, PA, USA,152892,39.7539,-77.57511
St. George, UT, USA,151948,37.09653,-113.5684
Fort Knox, KY, USA,151585,37.9161,-85.95625
Wichita Falls, TX, USA,151536,33.91371,-98.49339
Peru, IL, USA,150895,41.345119,-89.104618
Jefferson City, MO, USA,150866,38.5767,-92.17352
Corcoran, CA, USA,150269,36.09801,-119.5604
Monroe, MI, USA,149824,41.91644,-83.39771
Rocky Mount, NC, USA,149290,35.93821,-77.79053
Texarkana, TX, USA,149235,33.42513,-94.04769
Hattiesburg, MS, USA,148656,31.32712,-89.29034
Grand Junction, CO, USA,148255,39.06387,-108.5507
Santa Fe, NM, USA,148164,35.68697,-105.9378
Dothan, AL, USA,148095,31.22323,-85.39049
Florence, AL, USA,147639,34.81486,-87.64266
Traverse City, MI, USA,147610,44.76306,-85.62063
Coeur d'Alene, ID, USA,147326,47.67768,-116.7805
Concord, NH, USA,147171,43.20814,-71.53757
Pottsville, PA, USA,145797,40.68565,-76.1955
Wheeling, WV, USA,145205,40.06396,-80.72092
Sebastian, FL, USA,144755,27.8136,-80.49333
Rapid City, SD, USA,143638,44.08054,-103.231
Valdosta, GA, USA,143317,30.8327,-83.27849
Dalton, GA, USA,142952,34.7698,-84.97022
Napa, CA, USA,141667,38.29754,-122.2869
Tupelo, MS, USA,139723,34.25761,-88.70338
Homosassa Springs, FL, USA,139377,28.80371,-82.57613
Idaho Falls, ID, USA,138266,43.49165,-112.034
Johnstown, PA, USA,137732,40.32674,-78.92197
Flagstaff, AZ, USA,137682,35.19828,-111.6513
Morgantown, WV, USA,137251,39.62952,-79.95589
Onalaska, WI, USA,136749,43.88441,-91.23514
Springfield, OH, USA,136554,39.92422,-83.80882
Lebanon, PA, USA,136359,40.34092,-76.41135
Wausau, WI, USA,135780,44.95914,-89.63012
Battle Creek, MI, USA,134878,42.32115,-85.17971
Fortuna, CA, USA,134809,40.59819,-124.1573
Lumberton, NC, USA,134760,34.61822,-79.00864
Winchester, VA, USA,133403,39.18566,-78.16334
Fredonia, NY, USA,132053,42.44006,-79.33171
Logan, UT, USA,131364,41.73698,-111.8338
Lawton, OK, USA,131183,34.60357,-98.39593
Harrisonburg, VA, USA,130649,38.44957,-78.86891
Jackson, TN, USA,130225,35.61452,-88.81395
Pittsfield, MA, USA,128715,42.45008,-73.24538
New Bern, NC, USA,127534,35.10849,-77.04411
Douglas , AZ, USA,127448,31.43151,-109.5168
Saint Joseph, MO, USA,127431,39.76746,-94.84668
Glens Falls, NY, USA,127345,43.30952,-73.644
London, KY, USA,127316,37.12898,-84.08327
Hammond, LA, USA,127049,30.50436,-90.4612
Jonesboro, AR, USA,126764,35.8423,-90.70428
Carbondale, IL, USA,126685,37.74414,-89.2137
Dunn, NC, USA,126666,35.30627,-78.6089
Bismarck, ND, USA,126597,46.80833,-100.7837
Altoona, PA, USA,125955,40.51868,-78.39474
Goldsboro, NC, USA,124456,35.38488,-77.99277
Farmington, NM, USA,123785,36.72806,-108.2187
Sherman, TX, USA,123534,33.722928,-96.583113
Beckley, WV, USA,123373,37.77817,-81.18816
Mansfield, OH, USA,121942,40.75839,-82.51545
Weirton, WV, USA,121336,40.40918,-80.59236
 Waterville, ME, USA,121112,44.52547,-69.64443
Mount Vernon, WA, USA,120365,48.46597,-122.3248
Waynesboro, VA, USA,119766,38.06847,-78.88947
Cleveland, TN, USA,119705,35.15952,-84.87661
Albany, OR, USA,119356,44.63651,-123.1059
Watertown, NY, USA,119103,44.05584,-75.75954
San Angelo, TX, USA,118182,31.46377,-100.437
Muncie, IN, USA,117074,40.19338,-85.38636
Lawrence, KS, USA,116585,38.97167,-95.23525
Williamsport, PA, USA,116508,41.24119,-77.00108
Owensboro, KY, USA,116506,37.77191,-87.11117
Jacksonville, AL, USA,115916,33.82702,-85.76536
Morristown, TN, USA,115713,36.21398,-83.29489
Wooster, OH, USA,115537,40.80506,-81.93514
Sheboygan, WI, USA,115290,43.75083,-87.71453
Brunswick, GA, USA,114806,31.14995,-81.49149
Wenatchee, WA, USA,114392,47.42346,-120.3103
The Villages, FL, USA,114350,28.92702,-82.00376
Holland, MI, USA,113847,42.78753,-86.10893
Missoula, MT, USA,112684,46.87872,-113.9966
Michigan City, IN, USA,111444,41.70754,-86.89503
Massena, NY, USA,111400,44.9281,-74.89187
Kankakee, IL, USA,111375,41.12003,-87.86115
California, MD, USA,110382,38.3004,-76.50745
Decatur, IL, USA,108350,39.84031,-88.9548
Show Low, AZ, USA,108101,34.25421,-110.0298
Sumter, SC, USA,107919,33.92044,-80.34147
Cookeville, TN, USA,107761,36.16284,-85.50164
Lewiston, ME, USA,107440,44.09395,-70.15829
Roseburg, OR, USA,106972,43.2165,-123.3417
Meridian, MS, USA,106201,32.36431,-88.70366
Bay City, MI, USA,106179,43.59447,-83.88886
Salem, OH, USA,105686,40.90089,-80.85675
Bluefield, WV, USA,105237,37.26984,-81.22232
Lima, OH, USA,105040,40.74255,-84.10522
Danville, VA, USA,104827,36.58597,-79.39502
Ithaca, NY, USA,104691,42.44396,-76.50188
Berea, KY, USA,104166,37.64536,-84.28271
Twin Falls, ID, USA,103732,42.56297,-114.4609
Gadsden, AL, USA,103531,34.01426,-86.00664
Whitewater, WI, USA,103527,42.82687,-88.70601
Longview, WA, USA,102133,46.13817,-122.9382
Grand Forks, ND, USA,101842,47.92526,-97.03285
Fond du Lac, WI, USA,101759,43.77304,-88.44705
Gettysburg, PA, USA,101714,39.83093,-77.23109
Tullahoma, TN, USA,101344,35.38743,-86.15696
Cumberland, MD, USA,100530,39.65287,-78.76252
Ashtabula, OH, USA,99175,41.86506,-80.78981
Adrian, MI, USA,99047,41.89755,-84.03716
Grass Valley, CA, USA,98893,39.21906,-121.0611
Victoria, TX, USA,98630,28.80527,-97.0036
Mankato, MN, USA,98478,44.19814,-93.96744
Corning, NY, USA,98394,42.14285,-77.05469
Sebring, FL, USA,98236,27.49559,-81.44091
Manhattan, KS, USA,98091,39.18361,-96.57167
Cape Girardeau, MO, USA,97929,37.30589,-89.51815
Paducah, KY, USA,97820,37.08339,-88.60004
Hot Springs, AR, USA,97322,34.5037,-93.05518
Bozeman, MT, USA,97308,45.677,-111.0429
Shelby, NC, USA,97076,35.29235,-81.53564
Cheyenne, WY, USA,96389,41.13998,-104.8202
Dubuque, IA, USA,96370,42.50056,-90.66457
Rome, GA, USA,96063,34.25704,-85.16467
Ocean City, NJ, USA,95344,39.27761,-74.5746
Sevierville, TN, USA,95110,35.86814,-83.56184
Kalispell, MT, USA,94924,48.19199,-114.3168
Pine Bluff, AR, USA,94716,34.22843,-92.0032
Albertville, AL, USA,94636,34.26759,-86.20887
Greenwood, SC, USA,94485,34.1954,-82.16179
Clarksburg, WV, USA,94221,39.28064,-80.34454
Ames, IA, USA,94073,42.03472,-93.62
Sunbury, PA, USA,93944,40.86258,-76.79441
Moses Lake, WA, USA,93147,47.13014,-119.2781
Southern Pines, NC, USA,93077,35.17507,-79.3903
Dover, OH, USA,92788,40.53461,-81.48734
Sylacauga, AL, USA,92208,33.17317,-86.25164
Vienna, WV, USA,92082,39.32702,-81.54845
Brainerd, MN, USA,91824,46.35267,-94.20201
Orangeburg, SC, USA,90090,33.49182,-80.85564
New Castle, PA, USA,88771,41.00367,-80.34701
Beaver Dam, WI, USA,88574,43.45777,-88.83733
Hermiston, OR, USA,87892,45.90849,-119.105
Ukiah, CA, USA,87869,39.15017,-123.2078
Elmira, NY, USA,87770,42.0898,-76.80773
Lufkin, TX, USA,87750,31.33824,-94.7291
Indiana, PA, USA,87706,40.62146,-79.15253
Meadville, PA, USA,87175,41.64145,-80.15145
Corvallis, OR, USA,86316,44.56457,-123.262
Zanesville, OH, USA,85818,39.94035,-82.01319
Bloomsburg, PA, USA,85763,41.02674,-76.35857
Branson, MO, USA,85334,36.64367,-93.21851
Russellville, AR, USA,85152,35.27842,-93.13379
Laurel, MS, USA,84891,31.69405,-89.13062
Grand Island, NE, USA,84755,40.9264,-98.34201
Fort Atkinson, WI, USA,84395,42.92889,-88.83705
Huntsville, TX, USA,84013,30.72353,-95.55077
Opelousas, LA, USA,83709,30.53353,-92.08151
Grants Pass, OR, USA,83599,42.43901,-123.3284
Midland, MI, USA,83427,43.61558,-84.24722
Pocatello, ID, USA,83347,42.8713,-112.4455
Kokomo, IN, USA,82982,40.48643,-86.13361
Great Falls, MT, USA,82344,47.49418,-111.2833
Hinesville, GA, USA,82311,31.84688,-81.59595
Plattsburgh, NY, USA,81632,44.69949,-73.45291
Casper, WY, USA,81624,42.86663,-106.3131
Wilson, NC, USA,81401,35.72127,-77.91554
Cullman, AL, USA,81289,34.17482,-86.84361
DuBois, PA, USA,81191,41.12101,-78.75832
Stillwater, OK, USA,80264,36.11561,-97.05836
Columbus, IN, USA,80217,39.20144,-85.92138
Manitowoc, WI, USA,80160,44.08861,-87.65759
Danville, IL, USA,79728,40.12448,-87.63002
Athens, TX, USA,79290,32.20487,-95.85552
Oak Harbor, WA, USA,79275,48.29316,-122.6432
Auburn, NY, USA,78823,42.93173,-76.56606
Olean, NY, USA,78600,42.08364,-78.42992
Searcy, AR, USA,78592,35.24682,-91.73369
Warsaw, IN, USA,78564,41.2381,-85.85305
Minot, ND, USA,77959,48.23297,-101.2923
Helena, MT, USA,77414,46.58837,-112.0245
Portsmouth, OH, USA,77258,38.73174,-82.99767
Chillicothe, OH, USA,77159,39.33312,-82.9824
Key West, FL, USA,77136,24.55506,-81.77998
Quincy, IL, USA,77126,39.9356,-91.40987
Somerset, PA, USA,76218,40.00841,-79.07809
Keene, NH, USA,76115,42.93369,-72.27814
Sandusky, OH, USA,75828,41.44894,-82.70796
Findlay, OH, USA,75337,41.04422,-83.64993
Seneca, SC, USA,75192,34.68565,-82.9532
Centralia, WA, USA,75128,46.71621,-122.9543
Glenwood Springs, CO, USA,75087,39.55054,-107.3248
Gallup, NM, USA,74098,35.52808,-108.7426
Marshfield, WI, USA,73608,44.66885,-90.1718
Roanoke Rapids, NC, USA,73433,36.46154,-77.65414
Mount Airy, NC, USA,72968,36.4993,-80.60728
Port Angeles, WA, USA,72715,48.11814,-123.4307
Palatka, FL, USA,72143,29.64858,-81.63758
Statesboro, GA, USA,72087,32.44879,-81.78316
Shawnee, OK, USA,71811,35.32729,-96.9253
Frankfort, KY, USA,71768,38.2009,-84.87328
Greenfield, MA, USA,70862,42.58791,-72.59941
Aberdeen, WA, USA,70818,46.97537,-123.8157
Mount Pleasant, MI, USA,70616,43.59781,-84.76752
Stevens Point, WI, USA,70482,44.52358,-89.57456
Hobbs, NM, USA,69999,32.70261,-103.136
Muskogee, OK, USA,69966,35.74788,-95.36969
LaGrange, GA, USA,69469,33.03622,-85.03224
Owosso, MI, USA,68933,42.99781,-84.17664
North Wilkesboro, NC, USA,68838,36.15847,-81.14758
Morehead City, NC, USA,68811,34.72294,-76.72604
Marion, IN, USA,68569,40.55837,-85.65914
Greeneville, TN, USA,68335,36.16316,-82.83099
Lake City, FL, USA,67857,30.18968,-82.63929
Marquette, MI, USA,67676,46.54758,-87.39559
Richmond, IN, USA,67671,39.82894,-84.89024
Marshall, TX, USA,67336,32.54487,-94.36742
Forest City, NC, USA,66600,35.33401,-81.8651
Farmington, MO, USA,65960,37.78088,-90.42179
Roswell, NM, USA,65878,33.39426,-104.523
Martinsville, VA, USA,65792,36.69152,-79.87254
Marion, OH, USA,65720,40.58867,-83.12852
Klamath Falls, OR, USA,65455,42.22487,-121.7817
Nacogdoches, TX, USA,65301,31.60351,-94.65549
Northfield, MN, USA,65151,44.43167,-93.19144
Alamogordo, NM, USA,65082,32.89953,-105.9603
Marinette, WI, USA,65012,45.09998,-87.63066
Athens, OH, USA,64713,39.32924,-82.10126
Ionia, MI, USA,64294,42.98726,-85.07111
Clearlake, CA, USA,64184,38.95823,-122.6264
Mattoon, IL, USA,64153,39.48152,-88.36836
Walla Walla, WA, USA,63829,46.06458,-118.343
Somerset, KY, USA,63825,37.09202,-84.60411
Hutchinson, KS, USA,63794,38.06084,-97.92977
Elizabeth City, NC, USA,63584,36.2946,-76.25105
Baraboo, WI, USA,63379,43.4711,-89.74429
Enid, OK, USA,63091,36.39559,-97.87839
Red Bluff, CA, USA,63067,40.17849,-122.2358
Rio Grande City, TX, USA,62955,26.37979,-98.8203
Coos Bay, OR, USA,62475,43.3665,-124.2179
Lewiston, ID, USA,62196,46.40041,-117.0012
Hudson, NY, USA,62122,42.25286,-73.79096
Jefferson, GA, USA,61870,34.11705,-83.57239
Salina, KS, USA,61820,38.84028,-97.61143
Sayre, PA, USA,61784,41.97896,-76.5155
Marietta, OH, USA,61213,39.41535,-81.45484
Mount Vernon, OH, USA,61167,40.39339,-82.48572
Oneonta, NY, USA,61128,42.45286,-75.06377
Sturgis, MI, USA,60946,41.79922,-85.41915
Georgetown, SC, USA,60773,33.37683,-79.29449
Fort Madison, IA, USA,60767,40.62976,-91.31454
Shelton, WA, USA,60711,47.2151,-123.1007
Albemarle, NC, USA,60600,35.35014,-80.20006
Laconia, NH, USA,60305,43.52785,-71.47035
Fremont, OH, USA,60179,41.35033,-83.12186
